No.,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Notes,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Initial Impact Classification,Steady-State Impact Classification,Video Quality,No. of Levels (Steady Penet Depth),No. of Levels (Max. Penet Depth),Weber #,Comments
h124,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.6,3.115942029,3.623188406,4.347826087,5.507246377,0.8681265985,2.838901412,0.2536231884,0.1086956522,23.95959929,46,0.03126932832,1.304347826,0,0.3623188406,4.65437788,13.68663594,12.21198157,,1.630915574,06/06/2023,h5_E1_8_19,"E, W",SDRD,,,,,
h125,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,3.87755102,3.911564626,4.013605442,5.034013605,0.8049093763,2.657467654,0.2721088435,0.2040816327,19.65316858,49,0.01796717563,1.088435374,0,0.2721088435,1.889400922,7.603686636,6.221198157,,1.817315161,06/06/2023,h5_E1_8_20,"E, i",ih,,,,,
h126,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.4,3.843537415,3.87755102,3.945578231,4.931972789,0.8220351077,2.578648355,0.1020408163,0,17.95580932,43,0.05988150254,0.9863945578,0,1.020408163,4.631336406,10.80645161,5.184331797,,2.337758635,06/06/2023,h5_E1_8_21,"D, i",JRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h127,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,31.2,0.608974359,0.7051282051,3.493589744,5.737179487,0.6970069404,2.606676404,2.628205128,0.7371794872,1.182105064,46,0.1144137404,0.8333333333,0,4.423076923,6.612903226,28.22580645,32.74193548,,1.693488798,03/28/2023,h5_E1_3_22,"D, W",JRS,Uncalibrated Camera,,,,
h128,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,32.1,1.277258567,1.277258567,3.520249221,5.451713396,0.6906644757,2.512812915,2.492211838,0.7476635514,2.954492538,36,0.143713768,0.4361370717,0,4.143302181,0.1382488479,37.46543779,35.25345622,,1.557523578,03/28/2023,h5_E1_3_23,"D, W",JRS,,,,,
h129,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.9,1.326860841,1.391585761,3.624595469,5.760517799,0.7260215513,2.628959842,1.974110032,0.7443365696,2.389753333,40,0.04118611536,0.1618122977,-0.2265372168,3.365695793,2.67281106,23.68663594,23.87096774,,2.117250001,03/28/2023,h5_E1_3_24,"D, W",JRS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h130,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,3.436426117,3.436426117,5.360824742,6.013745704,0.8403761187,2.812937911,0.9278350515,0.618556701,21.20634669,50,0.008644914654,1.890034364,-0.1030927835,1.271477663,0.3629032258,8.243087558,9.694700461,,2.489615678,03/28/2023,h5_E1_4_22,"D, W",JIB,Uncalibrated Camera,,,,
h131,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30,3.333333333,3.333333333,5.4,6.1,0.7712087912,2.740837317,1.2,0.6333333333,18.18367749,48,0.06215042738,0.1333333333,-0.1,1.833333333,0.564516129,8.951612903,12.66129032,,4.408240864,03/28/2023,h5_E1_4_23,"D, W",JIB,Uncalibrated Camera,,,,
h132,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,27.3,3.956043956,3.956043956,5.750915751,6.446886447,0.8095165704,3.009869991,1.648351648,0.7692307692,23.69708016,57,0.1483371589,-0.1098901099,-0.3663003663,2.857142857,0.7603686636,9.331797235,16.10599078,,2.868842655,03/28/2023,h5_E1_4_24,"D, W",JIB,Uncalibrated Camera,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h133,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,6.872852234,7.903780069,4.639175258,4.776632302,0.8059065189,2.825745904,0,0,23.62805311,153,0.09562586021,1.408934708,-0.1718213058,0.1030927835,10.88709677,15.14976959,1.900921659,,11.40805361,03/28/2023,h5_E1_5_22,"E, iii",FDP,,,,,
h134,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.6,5.261437908,5.980392157,4.019607843,4.281045752,0.7918552036,2.680378245,0,0,20.16586572,63,0.0138456605,0.9477124183,0.03267973856,0,6.152073733,11.68202765,3.387096774,,2.363413314,03/28/2023,h5_E1_5_23,"E, ii",FDP,,,,,
h135,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,6.768707483,7.619047619,4.693877551,5.238095238,0.8094023324,2.797781973,0,0,22.93349371,262,0.003890942025,1.93877551,0,0,9.735023041,18.02995392,1.900921659,,22.17977649,03/28/2023,h5_E1_5_24,"E, ii",FDP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h136,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27.6,1.702898551,1.702898551,4.746376812,6.52173913,0.8803153368,3.018792941,1.847826087,0.6884057971,6.620194546,35,0.005232185521,1.630434783,0,3.007246377,0.6221198157,8.917050691,16.38248848,,1.84687409,06/06/2023,h5_E1_6_22,"D, W",JLRH,,,,,
h137,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,28.8,2.638888889,2.638888889,4.409722222,6.909722222,0.8602756892,2.898856381,1.701388889,0.6597222222,-2.057732159,47,0.002414412672,1.25,1.006944444,2.986111111,7.396313364,11.12903226,14.86175115,,3.956850915,06/06/2023,h5_E1_6_23,"D, W",JLRH,,,,,
h138,3,162.0324049,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,27,2.814814815,2.814814815,4.777777778,7.074074074,0.8504537205,2.875455892,1.777777778,0.6666666667,8.11945576,43,0.02184477971,1.333333333,0,2.888888889,0.2304147465,10.1843318,16.26728111,,1.585788804,06/06/2023,h5_E1_6_24,"D, W",JLRH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h139,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,19.8,3.383838384,3.434343434,3.585858586,5.404040404,0.810236279,2.571912771,0,0,17.8154716,51,0.3445044296,0.101010101,0,-2.21E+02,9.536290323,10.90725806,18.125,,1.984672178,06/06/2024,h5_E1_7_22,"D, i",SDRD,,,,,
h140,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,20.6,2.038834951,2.038834951,4.854368932,5.339805825,0.7753598929,2.672632009,0,0,19.99153374,91,0.04491292342,2.330097087,0,0,0.08986175115,3.504608295,3.407834101,,1.063740262,06/06/2024,h5_E1_7_23,"E, W",DRSH,,,,,
h141,3,97.94122645,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Gina Shome,mp4 format,20.4,2.058823529,2.058823529,4.852941176,5.196078431,0.7834685598,2.702308979,0.5882352941,0,20.66491537,88,0.1431896536,2.205882353,0,-1.65E+02,0.1296082949,3.585829493,5.342741935,,0.5798512056,06/06/2024,h5_E1_7_24,"E, W",SDRD,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h142,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,26.7,3.108614232,3.108614232,4.269662921,5.205992509,0.8737664875,3.055480698,0,0,29.87220299,52,0.01982441601,1.310861423,0,0,0.2822580645,10.52419355,1.411290323,,1.525157052,06/09/2023,h5_E1_8_22,"E, W",DRSH,,,,,
h143,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,29.1,2.852233677,2.886597938,4.742268041,5.738831615,0.7911227432,2.789004239,0,0,22.71831627,64,0.1380053328,2.096219931,0,0.1030927835,5.81797235,8.698156682,6.739631336,,3.120235549,06/09/2023,h5_E1_8_23,"E, W",DRSH,,,,,
h144,3,50,staggered,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_8_1,horizontal,front facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Hunter Benjamin,,30.6,2.712418301,2.712418301,4.607843137,5.45751634,0.7602528191,2.663456164,0,0,19.78633138,66,0.1125261963,2.026143791,0.03267973856,0,2.021889401,9.798387097,6.273041475,,3.04467688,06/09/2023,h5_E1_8_24,"E, W",DRSH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h145,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,21.2,2.363013699,2.363013699,5.342465753,6.061643836,0.7222147243,2.775904908,1.335616438,0.7534246575,13.71300931,62,0.01479155126,2.191780822,0,2.568493151,0.7834101382,12.94930876,28.89400922,,2.601727178,03/23/2023,h5_E1_3_25,"D, W",JLRH,good,,,,
h146,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.8,2.315436242,3.624161074,6.241610738,7.080536913,0.6932307957,2.836068148,0.7382550336,0.4697986577,19.89852902,74,0.07243538264,3.255033557,0,1.375838926,0.1152073733,10.43778802,16.52073733,,2.199903823,03/23/2023,h5_E1_3_26,"D, W",JLRH,,,,,
h147,3,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30,2.8,2.8,6.033333333,6.766666667,0.7021444282,2.745532315,1.1,0.6,18.2037679,71,0.01115448632,3.066666667,0,1.866666667,2.073732719,16.9124424,24.00921659,,2.216419628,03/23/2023,h5_E1_3_27,"D, W",JLRH,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h148,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,5.429553265,5.807560137,4.845360825,5.223367698,0.7784174588,2.839443438,0.7560137457,0.3436426117,23.75152752,74,0.1353053513,2.474226804,0.6529209622,0.7560137457,13.89400922,18.31797235,8.3640553,,2.375917954,03/28/2023,h5_E1_4_25,"E, i",ih,pretty good,,,,
h149,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.1,6.76975945,6.76975945,4.467353952,4.810996564,0.8049167328,2.851250181,0,0,24.27362262,71,0.03507384865,2.027491409,0.9965635739,0,5.599078341,19.70046083,2.281105991,,2.634828828,03/28/2023,h5_E1_4_26,"E, i",ih,,,,,
h150,3,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,29.4,4.727891156,5.442176871,5,5.408163265,0.789863198,2.818839459,0,0,23.45522722,63,0.1434746449,2.482993197,0.306122449,0,1.900921659,13.88248848,3.398617512,,2.802086496,03/28/2023,h5_E1_4_27,"E, i",ih,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h151,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.3,6.600660066,7.458745875,4.092409241,4.224422442,0.7604655202,2.731336176,0,0,21.33801856,126,0.01400562909,1.485148515,-0.1320132013,0,6.370967742,16.37096774,1.532258065,,8.074253284,03/28/2023,h5_E1_5_25,"E, FDP",FDP,,,,,
h152,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,28.5,7.01754386,7.929824561,4.596491228,4.736842105,0.8077779588,2.910053782,0,0,25.80665194,130,0.08353427548,2.105263158,-0.2105263158,0,9.193548387,14.30875576,2.97235023,,7.957344853,03/28/2023,h5_E1_5_26,"E, FDP",FDP,,,,,
h153,3,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,bottom facing up,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,,30.9,6.472491909,7.281553398,4.012944984,4.207119741,0.7434348292,2.658693352,0,0,19.68037489,68,0.1315600106,1.326860841,-0.2588996764,0.09708737864,0.4838709677,17.90322581,1.451612903,,2.330201126,03/28/2023,h5_E1_5_27,"E, FDP",FDP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
